Resource,Path,Git Org,Git Repository,Misconfigurations,Severity,Policy title,Guideline
audit\实测门_配置族\Dockerfile.,audit\实测门_配置族\Dockerfile,cli_repo,实测门_配置族,CKV_DOCKER_2,,Ensure that HEALTHCHECK instructions have been added to container images,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-healthcheck-instructions-have-been-added-to-container-images
audit\实测门_配置族\Dockerfile.FROM,audit\实测门_配置族\Dockerfile,cli_repo,实测门_配置族,,,,
audit\实测门_配置族\Dockerfile.USER,audit\实测门_配置族\Dockerfile,cli_repo,实测门_配置族,,,,
audit\实测门_配置族\Dockerfile.RUN,audit\实测门_配置族\Dockerfile,cli_repo,实测门_配置族,,,,
audit\实测门_配置族\Dockerfile.ENV,audit\实测门_配置族\Dockerfile,cli_repo,实测门_配置族,,,,
