Resource,Path,Git Org,Git Repository,Misconfigurations,Severity,Policy title,Guideline
pos/Dockerfile.ADD,pos/Dockerfile,cli_repo,pos,CKV_DOCKER_4,,Ensure that COPY is used instead of ADD in Dockerfiles,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-copy-is-used-instead-of-add-in-dockerfiles
pos/Dockerfile.FROM,pos/Dockerfile,cli_repo,pos,CKV_DOCKER_7,,Ensure the base image uses a non latest version tag,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-the-base-image-uses-a-non-latest-version-tag
pos/Dockerfile.USER,pos/Dockerfile,cli_repo,pos,CKV_DOCKER_8,,Ensure the last USER is not root,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-the-last-user-is-not-root
pos/Dockerfile.,pos/Dockerfile,cli_repo,pos,CKV_DOCKER_2,,Ensure that HEALTHCHECK instructions have been added to container images,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-healthcheck-instructions-have-been-added-to-container-images
pos/Dockerfile.RUN,pos/Dockerfile,cli_repo,pos,,,,
