Resource,Path,Git Org,Git Repository,Misconfigurations,Severity,Policy title,Guideline
Dockerfile.,Dockerfile,cli_repo,实测门_配置族,CKV_DOCKER_2,,Ensure that HEALTHCHECK instructions have been added to container images,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-healthcheck-instructions-have-been-added-to-container-images
Dockerfile.FROM,Dockerfile,cli_repo,实测门_配置族,,,,
Dockerfile.USER,Dockerfile,cli_repo,实测门_配置族,,,,
Dockerfile.RUN,Dockerfile,cli_repo,实测门_配置族,,,,
Dockerfile.ENV,Dockerfile,cli_repo,实测门_配置族,,,,
